VCD info: dumpfile wave.vcd opened for output.
t=0: A=0, B=0, C=0, Z=x
t=200: A=0, B=0, C=0, Z=1
t=300: A=0, B=0, C=0, Z=0
t=1000: A=0, B=0, C=1, Z=0
t=1100: A=0, B=1, C=0, Z=0
t=1200: A=0, B=1, C=1, Z=0
t=1300: A=1, B=0, C=0, Z=0
t=1400: A=1, B=0, C=1, Z=0
t=1500: A=1, B=1, C=0, Z=0
t=1600: A=1, B=1, C=1, Z=1
t=1700: A=0, B=0, C=0, Z=0
t=1900: A=0, B=0, C=0, Z=1
t=2000: A=0, B=0, C=0, Z=0
t=2200: A=0, B=0, C=0, Z=1
t=2300: A=0, B=0, C=0, Z=0
t=2400: A=0, B=0, C=0, Z=1
t=2600: A=0, B=0, C=0, Z=0
t=2700: A=0, B=0, C=1, Z=1
t=2800: A=0, B=1, C=0, Z=1
t=2900: A=0, B=1, C=1, Z=0
t=3000: A=1, B=0, C=0, Z=1
t=3100: A=1, B=0, C=1, Z=0
t=3200: A=1, B=1, C=0, Z=0
t=3300: A=1, B=1, C=1, Z=1
t=3400: A=0, B=0, C=0, Z=0
t=3600: A=0, B=0, C=0, Z=1
t=3700: A=0, B=0, C=0, Z=0
t=4000: A=0, B=0, C=0, Z=1
t=4100: A=0, B=0, C=0, Z=0
t=4400: A=0, B=0, C=1, Z=0
t=4500: A=0, B=1, C=0, Z=0
t=4600: A=0, B=1, C=1, Z=1
t=4700: A=1, B=0, C=0, Z=0
t=4800: A=1, B=0, C=1, Z=0
t=4900: A=1, B=1, C=0, Z=0
t=5000: A=1, B=1, C=1, Z=1
lut_top_tb.v:147: $finish called at 5100 (100ps)
